CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SatisfactionScore,Churn
CUST0001,Male,0,Yes,No,29,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,63.87,1865.09,1,Yes
CUST0002,Female,1,No,No,35,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Mailed check,59.11,2076.65,3,No
CUST0003,Male,0,No,No,66,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,78.47,5188.59,5,No
CUST0004,Male,0,No,No,48,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,86.22,4139.23,3,No
CUST0005,Male,0,No,Yes,54,Yes,No,No service,No service,No service,No service,No service,No service,One year,Yes,Bank transfer,18.25,993.17,1,No
CUST0006,Female,0,No,Yes,55,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer,70.75,3888.86,3,No
CUST0007,Male,0,No,Yes,67,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer,55.4,3699.09,5,No
CUST0008,Male,0,Yes,No,43,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,Yes,Electronic check,30.1,1275.03,2,No
CUST0009,Male,1,Yes,No,30,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,No,Bank transfer,27.41,774.6,3,Yes
CUST0010,Female,0,Yes,No,57,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,74.34,4233.76,4,No
CUST0011,Male,0,No,Yes,52,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer,93.98,4917.35,5,No
CUST0012,Male,0,No,No,22,Yes,No,No service,No service,No service,No service,No service,No service,Two year,Yes,Mailed check,18.25,416.1,5,No
CUST0013,Male,0,No,No,27,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer,69.66,1885.37,4,No
CUST0014,Male,0,Yes,Yes,15,Yes,No,No service,No service,No service,No service,No service,No service,Two year,Yes,Credit card,18.25,259.07,1,No
CUST0015,Female,0,No,No,36,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card,40.55,1479.75,4,Yes
CUST0016,Male,0,No,Yes,20,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card,61.53,1228.21,1,Yes
CUST0017,Female,0,No,No,16,No,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card,74.92,1230.22,2,Yes
CUST0018,Female,1,No,No,36,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,83.69,2993.22,1,Yes
CUST0019,Female,0,Yes,Yes,18,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,No,Credit card,33.17,582.06,2,No
CUST0020,Male,0,No,Yes,29,Yes,No,No service,No service,No service,No service,No service,No service,Month-to-month,Yes,Credit card,18.25,512.3,2,No
CUST0021,Female,0,Yes,No,44,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer,83.83,3658.88,4,No
CUST0022,Male,1,Yes,No,17,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,74.31,1244.53,2,No
